scenario,controller,seed,steps,crash,rmse_m,constraint_violation_steps,max_position_error_m,settling_time_s,energy_proxy_n2s,safety_corrections,correction_l2,mpsc_feasible_rate,description
nominal,pid,1337,300,0,0.08307825363054507,58.0,0.2489735026871025,,0.23364882579800217,0,0.0,,No injected disturbance
nominal,ppo,1337,300,0,0.18165634543346923,29.0,0.44891643351762756,,0.22063221037387848,0,0.0,,No injected disturbance
nominal,ppo_mpsc,1337,300,0,0.1997620060428048,0.0,0.5265291345934746,,0.22035173913578948,47,0.06734712454095652,1.0,No injected disturbance
wind_light,pid,1337,300,0,0.08103091366992556,55.0,0.2489735026871025,0.0,0.23342580376165706,0,0.0,,0.005 N constant lateral-force proxy from t=2 s
wind_light,ppo,1337,300,0,0.1821136582065319,29.0,0.44891643351762756,0.0,0.2203442007303238,0,0.0,,0.005 N constant lateral-force proxy from t=2 s
wind_light,ppo_mpsc,1337,300,0,0.20016994474787791,0.0,0.5265291345934746,0.0,0.22004945572798726,47,0.06734712453164167,1.0,0.005 N constant lateral-force proxy from t=2 s
wind_strong,pid,1337,300,0,0.08058921861592395,58.0,0.2489735026871025,0.0,0.23338749967676378,0,0.0,,0.015 N constant lateral-force proxy from t=2 s
wind_strong,ppo,1337,300,0,0.1922058050901333,29.0,0.44891643351762756,0.0,0.22015129029750824,0,0.0,,0.015 N constant lateral-force proxy from t=2 s
wind_strong,ppo_mpsc,1337,300,0,0.2094328523299818,0.0,0.5265291345934746,0.0,0.21982856638381315,47,0.06734712452887519,1.0,0.015 N constant lateral-force proxy from t=2 s
motor_loss_10,pid,1337,156,1,0.5634204421945824,106.0,2.262835787837032,,0.12564543447135346,0,0.0,,10% loss of left 2-D motor group from t=2 s
motor_loss_10,ppo,1337,300,0,0.31276647525871387,31.0,0.4573663330029921,0.0,0.22060672497316702,0,0.0,,10% loss of left 2-D motor group from t=2 s
motor_loss_10,ppo_mpsc,1337,300,0,0.3300118379904179,4.0,0.5265291345934746,0.0,0.22045460852962884,104,0.27859636205607746,0.9866666666666667,10% loss of left 2-D motor group from t=2 s
motor_loss_20,pid,1337,115,1,0.11917643910779521,70.0,0.2489735026871025,,0.0857053765945753,0,0.0,,20% loss of left 2-D motor group from t=2 s
motor_loss_20,ppo,1337,300,1,0.6303747326524544,67.0,0.9703338583478069,,0.22151854362310394,0,0.0,,20% loss of left 2-D motor group from t=2 s
motor_loss_20,ppo_mpsc,1337,300,1,0.8722318147294575,150.0,1.7541281752500677,,0.22306433868611092,246,2.05168112211189,0.48333333333333334,20% loss of left 2-D motor group from t=2 s
motor_loss_30,pid,1337,118,1,0.14286666704642134,73.0,0.5357728909238977,,0.09630879942484029,0,0.0,,30% loss of left 2-D motor group from t=2 s
motor_loss_30,ppo,1337,300,1,1.1151644353459034,203.0,2.0274402060080283,,0.2180914928847363,0,0.0,,30% loss of left 2-D motor group from t=2 s
motor_loss_30,ppo_mpsc,1337,300,1,1.1251531960266983,200.0,2.107090285453522,,0.2187023667977783,246,2.0393696076670724,0.33666666666666667,30% loss of left 2-D motor group from t=2 s
